Elenco delle specie ricercate all'interno del campione ordinate per ordine alfabetico
Taxon
Alkalihalobacillus pseudalcaliphilus
Alkalihalobacillus rhizosphaerae
Alkalihalobacillus shacheensis
Alkalihalobacillus trypoxylicola
Alkalihalobacillus urbisdiaboli
Alkalihalobacillus wakoensis
Alkalihalobacillus xiaoxiensis
Alkalihalobacterium alkalinitrilicum
Alkalihalobacterium elongatum
Alkalihalophilus marmarensis
Alkalihalophilus pseudofirmus
Alkalilacustris brevis
Alkalilimnicola ehrlichii
Alkalilimnicola halodurans
Alkalimarinus sediminis
Alkaliphilus crotonatoxidans
Alkaliphilus halophilus
Alkaliphilus hydrothermalis
Alkaliphilus metalliredigens
Alkaliphilus namsaraevii
Alkaliphilus oremlandii
Alkaliphilus peptidifermentans
Alkaliphilus transvaalensis
Alkalispirillum mobile
Alkalispirochaeta alkalica
Alkalispirochaeta americana
Alkalispirochaeta cellulosivorans
Alkalispirochaeta odontotermitis
Alkalispirochaeta sphaeroplastigenens
Alkalitalea saponilacus
Alkanibacter difficilis
Alkanindiges hongkongensis
Alkanindiges illinoisensis
Allgaiera indica
Allisonella histaminiformans
Allobacillus halotolerans
Allobaculum stercoricanis
Allobranchiibius huperziae
Allocatelliglobosispora scoriae
Allochromatium humboldtianum
Allochromatium minutissimum
Allochromatium phaeobacterium
Allochromatium renukae
Allochromatium vinosum
Allochromatium warmingii
Allofrancisella frigidaquae
Allofrancisella guangzhouensis
Allofrancisella inopinata
Allofustis seminis
Allohahella antarctica
Allohumibacter endophyticus
Alloiococcus otitis
Allokutzneria albata
Allokutzneria multivorans
Allokutzneria oryzae
Allomonas enterica
Allopontixanthobacter confluentis
Allopontixanthobacter sediminis
Alloprevotella rava
Alloprevotella tannerae
Allosaccharopolyspora coralli
Alloscardovia criceti
Alloscardovia macacae
Alloscardovia omnicolens
Alloscardovia theropitheci
Alloscardovia venturai
Allosediminivita pacifica
Allosphingosinicella indica
Allosphingosinicella vermicomposti
Allostreptomyces psammosilenae
Alpinimonas psychrophila
Alsobacter metallidurans
Alsobacter soli
Alteracholeplasma palmae
Alteracholeplasma parvum
Alteraurantiacibacter aestuarii
Alteraurantiacibacter buctensis
Altererythrobacter aquiaggeris
Altererythrobacter epoxidivorans
Altererythrobacter ishigakiensis
Altererythrobacter lauratis
Altererythrobacter palmitatis
Altererythrobacter xiamenensis
Alteribacillus alkaliphilus
Alteribacillus bidgolensis
Alteribacillus iranensis
Alteribacillus persepolensis
Alteribacter aurantiacus
Alteribacter populi
Altericroceibacterium endophyticum
Altericroceibacterium indicum
Altericroceibacterium spongiae
Altericroceibacterium xinjiangense
Alterileibacterium massiliense
Alterinioella nitratireducens
Alteripontixanthobacter maritimus
Alteriqipengyuania halimionae
Alteriqipengyuania lutimaris
Alterococcus agarolyticus
Alteromonas aestuariivivens
Alteromonas australica
Alteromonas confluentis
Alteromonas genovensis
Alteromonas halophila
Alteromonas hispanica
Alteromonas lipolytica
Alteromonas litorea
Alteromonas macleodii
Alteromonas marina
Alteromonas mediterranea
Alteromonas naphthalenivorans
Alteromonas oceani
Alteromonas pelagimontana
Alteromonas profundi
Alteromonas sediminis
Alteromonas simiduii
Alteromonas stellipolaris
Alteromonas tagae
Altibacter lentus
Alysiella crassa
Alysiella filiformis
Amantichitinum ursilacus
Amaricoccus kaplicensis
Amaricoccus macauensis
Amaricoccus tamworthensis
Amaricoccus veronensis
Amedibacillus dolichus
Ameyamaea chiangmaiensis
Aminicella lysinilytica
Aminiphilus circumscriptus
Aminipila butyrica
Aminivibrio pyruvatiphilus
Aminobacter aganoensis
Aminobacter aminovorans
